"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9795","navigate to API documentation","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","7967","search functionality is available","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","2978","footer contains community links","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","5491","get started link","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","5296","navigate to API documentation","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","7577","navigation menu contains key sections","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","3837","navigation menu contains key sections","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","5328","footer contains community links","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","5512","check GitHub link is present","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","8823","get started link","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","7340","has title","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","3403","has title","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","9983","has title","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","3679","search functionality is available","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","12297","get started link","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","12057","navigation menu contains key sections","firefox","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","3905","navigate to API documentation","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","2927","check GitHub link is present","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","3980","check GitHub link is present","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","3928","footer contains community links","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","7411","search functionality is available","Microsoft Edge","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
